Anticipated Date,Actual Date,Purpose,Harvest Weight (tonne),Price (1 tonne),Total,Labour,Micelleneous,Grand Total
23/1/2022,23/1/2022,Harvest,3.89,"RM1,120.00","RM4,356.80",RM311.20,"RM1,597.25","RM2,448.35"
1/2/2022,1/2/2022,Purning,0,RM0.00,RM0.00,"RM1,380.00",RM2.00,"-RM1,382.00"
2/2/2022,2/2/2022,Herbicide,0,RM0.00,RM0.00,RM400.00,RM0.00,-RM400.00
20/2/2022,12/2/2022,Fertilization,0,RM0.00,RM0.00,RM0.00,"RM2,948.00","-RM2,948.00"
13/2/2022,12/2/2022,Harvest,3.03,"RM1,180.00","RM3,575.40",RM250.00,RM69.69,"RM3,255.71"
5/3/2022,1/3/2022,Harvest,2.2,"RM1,320.00","RM2,904.00",RM180.00,RM50.60,"RM2,673.40"
19/3/2022,19/3/2022,Harvest,1.65,"RM1,340.00","RM2,211.00",RM160.00,RM37.95,"RM2,013.05"
9/4/2022,9/4/2022,Harvest,1.34,"RM1,280.00","RM1,715.20",RM160.00,RM30.82,"RM1,524.38"
30/4/2022,27/4/2022,Harvest,0.88,"RM1,380.00","RM1,214.40",RM160.00,RM23.00,"RM1,031.40"
18/5/2022,22/5/2022,Harvest,1.35,"RM1,300.00","RM1,755.00",RM160.00,RM31.05,"RM1,563.95"
12/6/2022,19/6/2022,Harvest,1.3,"RM1,060.00","RM1,378.00",RM160.00,RM30.36,"RM1,187.64"
10/7/2022,17/7/2022,Harvest,1.13,RM700.00,RM791.00,RM160.00,RM28.25,RM602.75
6/8/2022,13/8/2022,Harvest,1.4,RM760.00,"RM1,064.00",RM160.00,RM35.00,RM869.00
13/8/2022,13/8/2022,Fertilization,0,RM0.00,RM0.00,RM80.00,"RM1,430.00","-RM1,510.00"
3/9/2022,11/9/2022,Harvest,2.11,RM680.00,"RM1,434.80",RM168.80,RM52.75,"RM1,213.25"
11/9/2022,11/9/2022,Purning,0,RM0.00,RM0.00,RM906.00,RM0.00,-RM906.00
2/10/2022,5/10/2022,Harvest,2.6,RM630.00,"RM1,638.00",RM208.00,RM65.00,"RM1,365.00"
5/10/2022,5/10/2022,Purning,0,RM0.00,RM0.00,RM480.00,RM0.00,-RM480.00
26/10/2022,29/10/2022,Harvest,2.26,RM720.00,"RM1,627.20",RM180.80,RM58.76,"RM1,387.64"
19/11/2022,20/11/2022,Harvest,2.1,RM700.00,"RM1,470.00",RM168.00,RM56.70,"RM1,245.30"
11/12/2022,8/12/2022,Harvest,2.03,RM720.00,"RM1,461.60",RM162.40,RM54.81,"RM1,244.39"
29/12/2022,2/1/2023,Harvest,2.14,RM700.00,"RM1,498.00",RM171.20,RM57.78,"RM1,269.02"
23/1/2023,19/1/2023,Harvest,1.75,RM700.00,"RM1,225.00",RM160.00,RM47.25,"RM1,017.75"
22/1/2023,22/1/2023,Herbicide,0,RM0.00,RM0.00,RM320.00,RM0.00,-RM320.00
11/2/2023,12/2/2023,Harvest,1.97,RM700.00,"RM1,379.00",RM160.00,RM53.19,"RM1,165.81"
18/2/2023,5/3/2023,Fertilization,0,RM0.00,RM0.00,RM90.00,"RM2,533.00","-RM2,623.00"
4/3/2023,5/3/2023,Harvest,2.05,RM780.00,"RM1,599.00",RM164.00,RM55.35,"RM1,379.65"
25/3/2023,25/3/2023,Harvest,2.18,RM700.00,"RM1,526.00",RM174.40,RM58.86,"RM1,292.74"
15/4/2023,16/4/2023,Harvest,1.82,RM760.00,"RM1,383.20",RM160.00,RM49.14,"RM1,174.06"
6/5/2023,6/5/2023,Harvest,1.95,RM760.00,"RM1,482.00",RM160.00,RM52.65,"RM1,269.35"
27/5/2023,23/5/2023,Harvest,1.35,RM680.00,RM918.00,RM160.00,RM36.45,RM721.55
10/6/2023,13/6/2023,Harvest,2.15,RM630.00,"RM1,354.50",RM172.00,RM58.05,"RM1,124.45"
1/7/2023,2/7/2023,Harvest,1.28,RM680.00,RM870.40,RM160.00,RM34.56,RM675.84
2/7/2023,2/7/2023,Herbicide,0,RM0.00,RM0.00,RM350.00,RM0.00,-RM350.00
22/7/2023,23/7/2023,Harvest,1.44,RM730.00,"RM1,051.20",RM160.00,RM38.88,RM852.32
12/8/2023,13/8/2023,Harvest,1.06,RM690.00,RM731.40,RM160.00,RM28.62,RM542.78
2/9/2023,9/9/2023,Harvest,2.4,RM680.00,"RM1,632.00",RM192.00,RM64.80,"RM1,375.20"
30/9/2023,28/9/2023,Harvest,1.12,RM660.00,RM739.20,RM160.00,RM30.24,RM548.96
30/9/2023,21/10/2023,Purning,0,RM0.00,RM0.00,"RM1,374.00",RM0.00,"-RM1,374.00"
21/10/2023,22/10/2023,Harvest,2.02,RM680.00,"RM1,373.60",RM161.60,RM54.54,"RM1,157.46"
11/11/2023,14/11/2023,Harvest,1.9,RM670.00,"RM1,273.00",RM160.00,RM51.30,"RM1,061.70"
2/12/2023,2/12/2023,Harvest,1.55,RM690.00,"RM1,069.50",RM160.00,RM41.85,RM867.65
23/12/2023,23/12/2023,Harvest,1.79,RM680.00,"RM1,217.20",RM160.00,RM48.33,"RM1,008.87"
25/12/2023,25/12/2023,Herbicide,0,RM0.00,RM0.00,RM350.00,RM0.00,-RM350.00
29/12/2023,29/12/2023,Fertilization,0,RM0.00,RM0.00,RM100.00,"RM1,240.00","-RM1,340.00"
